cell_x_m,cell_y_m,count
213727.66401520075,1757565.5185298186,765
202727.66401520075,1778565.5185298186,452
204727.66401520075,1776565.5185298186,430
205727.66401520075,1776565.5185298186,390
204727.66401520075,1778565.5185298186,269
202727.66401520075,1777565.5185298186,250
214727.66401520075,1757565.5185298186,240
204727.66401520075,1777565.5185298186,234
202727.66401520075,1779565.5185298186,197
201727.66401520075,1778565.5185298186,184
201727.66401520075,1777565.5185298186,169
213727.66401520075,1756565.5185298186,155
215727.66401520075,1757565.5185298186,149
200727.66401520075,1778565.5185298186,108
203727.66401520075,1777565.5185298186,107
213727.66401520075,1758565.5185298186,106
202727.66401520075,1775565.5185298186,98
202727.66401520075,1774565.5185298186,96
202727.66401520075,1776565.5185298186,96
201727.66401520075,1779565.5185298186,94
203727.66401520075,1778565.5185298186,91
205727.66401520075,1775565.5185298186,89
205727.66401520075,1777565.5185298186,89
199727.66401520075,1778565.5185298186,86
215727.66401520075,1760565.5185298186,83
214727.66401520075,1761565.5185298186,83
204727.66401520075,1775565.5185298186,81
202727.66401520075,1780565.5185298186,78
212727.66401520075,1757565.5185298186,77
214727.66401520075,1756565.5185298186,70
204727.66401520075,1779565.5185298186,64
201727.66401520075,1776565.5185298186,62
204727.66401520075,1780565.5185298186,61
198727.66401520075,1778565.5185298186,60
191727.66401520075,1744565.5185298186,57
200727.66401520075,1772565.5185298186,57
200727.66401520075,1776565.5185298186,53
194727.66401520075,1779565.5185298186,51
197727.66401520075,1777565.5185298186,49
201727.66401520075,1774565.5185298186,49
201727.66401520075,1773565.5185298186,47
212727.66401520075,1758565.5185298186,47
203727.66401520075,1779565.5185298186,45
195727.66401520075,1778565.5185298186,43
200727.66401520075,1777565.5185298186,42
205727.66401520075,1768565.5185298186,39
194727.66401520075,1778565.5185298186,39
206727.66401520075,1771565.5185298186,36
205727.66401520075,1781565.5185298186,36
194727.66401520075,1780565.5185298186,35
203727.66401520075,1780565.5185298186,35
213727.66401520075,1755565.5185298186,31
196727.66401520075,1777565.5185298186,29
205727.66401520075,1778565.5185298186,29
201727.66401520075,1775565.5185298186,27
203727.66401520075,1776565.5185298186,27
197727.66401520075,1778565.5185298186,26
205727.66401520075,1782565.5185298186,25
215727.66401520075,1756565.5185298186,24
205727.66401520075,1779565.5185298186,24
199727.66401520075,1772565.5185298186,23
192727.66401520075,1783565.5185298186,23
204727.66401520075,1774565.5185298186,22
205727.66401520075,1780565.5185298186,22
205727.66401520075,1773565.5185298186,22
203727.66401520075,1774565.5185298186,21
201727.66401520075,1771565.5185298186,21
199727.66401520075,1771565.5185298186,21
201727.66401520075,1770565.5185298186,20
215727.66401520075,1761565.5185298186,20
206727.66401520075,1768565.5185298186,20
214727.66401520075,1760565.5185298186,20
202727.66401520075,1773565.5185298186,19
201727.66401520075,1780565.5185298186,19
197727.66401520075,1779565.5185298186,19
207727.66401520075,1771565.5185298186,18
191727.66401520075,1785565.5185298186,17
212727.66401520075,1756565.5185298186,17
202727.66401520075,1771565.5185298186,16
198727.66401520075,1774565.5185298186,16
195727.66401520075,1777565.5185298186,16
206727.66401520075,1782565.5185298186,15
198727.66401520075,1776565.5185298186,15
205727.66401520075,1774565.5185298186,15
204727.66401520075,1781565.5185298186,14
200727.66401520075,1770565.5185298186,14
193727.66401520075,1782565.5185298186,14
208727.66401520075,1753565.5185298186,14
191727.66401520075,1779565.5185298186,13
198727.66401520075,1775565.5185298186,12
210727.66401520075,1757565.5185298186,12
205727.66401520075,1772565.5185298186,12
206727.66401520075,1772565.5185298186,12
198727.66401520075,1777565.5185298186,12
196727.66401520075,1778565.5185298186,11
196727.66401520075,1776565.5185298186,11
197727.66401520075,1776565.5185298186,11
191727.66401520075,1745565.5185298186,11
205727.66401520075,1758565.5185298186,11
196727.66401520075,1779565.5185298186,11
199727.66401520075,1773565.5185298186,11
192727.66401520075,1782565.5185298186,11
195727.66401520075,1779565.5185298186,10
193727.66401520075,1769565.5185298186,10
214727.66401520075,1759565.5185298186,10
200727.66401520075,1773565.5185298186,10
208727.66401520075,1781565.5185298186,10
203727.66401520075,1781565.5185298186,10
215727.66401520075,1758565.5185298186,10
215727.66401520075,1759565.5185298186,10
212727.66401520075,1759565.5185298186,9
205727.66401520075,1767565.5185298186,9
214727.66401520075,1758565.5185298186,9
204727.66401520075,1767565.5185298186,8
195727.66401520075,1776565.5185298186,8
210727.66401520075,1759565.5185298186,8
197727.66401520075,1766565.5185298186,8
191727.66401520075,1757565.5185298186,8
205727.66401520075,1763565.5185298186,8
205727.66401520075,1765565.5185298186,8
206727.66401520075,1770565.5185298186,8
207727.66401520075,1770565.5185298186,8
199727.66401520075,1770565.5185298186,8
213727.66401520075,1762565.5185298186,8
199727.66401520075,1777565.5185298186,8
197727.66401520075,1775565.5185298186,7
206727.66401520075,1769565.5185298186,7
196727.66401520075,1775565.5185298186,7
207727.66401520075,1769565.5185298186,7
211727.66401520075,1756565.5185298186,7
200727.66401520075,1769565.5185298186,7
196727.66401520075,1764565.5185298186,7
200727.66401520075,1779565.5185298186,7
206727.66401520075,1781565.5185298186,7
201727.66401520075,1767565.5185298186,7
206727.66401520075,1773565.5185298186,6
200727.66401520075,1771565.5185298186,6
211727.66401520075,1758565.5185298186,6
207727.66401520075,1768565.5185298186,6
208727.66401520075,1760565.5185298186,6
193727.66401520075,1779565.5185298186,6
208727.66401520075,1768565.5185298186,6
205727.66401520075,1770565.5185298186,6
204727.66401520075,1773565.5185298186,6
209727.66401520075,1759565.5185298186,6
198727.66401520075,1770565.5185298186,6
193727.66401520075,1770565.5185298186,5
193727.66401520075,1768565.5185298186,5
211727.66401520075,1757565.5185298186,5
194727.66401520075,1781565.5185298186,5
204727.66401520075,1769565.5185298186,5
190727.66401520075,1745565.5185298186,5
207727.66401520075,1756565.5185298186,5
207727.66401520075,1754565.5185298186,5
198727.66401520075,1779565.5185298186,5
204727.66401520075,1759565.5185298186,5
205727.66401520075,1771565.5185298186,5
206727.66401520075,1762565.5185298186,5
202727.66401520075,1781565.5185298186,5
191727.66401520075,1782565.5185298186,5
202727.66401520075,1772565.5185298186,5
206727.66401520075,1767565.5185298186,5
190727.66401520075,1779565.5185298186,5
193727.66401520075,1781565.5185298186,5
195727.66401520075,1780565.5185298186,5
207727.66401520075,1761565.5185298186,5
191727.66401520075,1784565.5185298186,5
190727.66401520075,1778565.5185298186,4
191727.66401520075,1752565.5185298186,4
210727.66401520075,1750565.5185298186,4
213727.66401520075,1760565.5185298186,4
198727.66401520075,1767565.5185298186,4
207727.66401520075,1760565.5185298186,4
193727.66401520075,1758565.5185298186,4
200727.66401520075,1768565.5185298186,4
196727.66401520075,1774565.5185298186,4
198727.66401520075,1768565.5185298186,4
207727.66401520075,1764565.5185298186,4
206727.66401520075,1774565.5185298186,4
