category,source,id,name,lon,lat,confidence,has_any_contact_info,contributing_provider_count
school,osm,way/403614689,Trường Trung học phổ thông Hoàng Hoa Thám,108.23746837227432,16.05831325,,,
school,osm,way/1324354866,Trường Tiểu học Nguyễn Bá Ngọc,108.21087488172068,16.06751585,,,
school,osm,way/488435094,Trường Tiểu học Phan Đăng Lưu,108.21772670209762,16.03692385,,,
school,osm,way/531448739,Trường Tiểu học Văn Thanh Tùng,108.30292721501439,15.9229812,,,
school,osm,node/13644509020,THPT Nguyễn Duy Hiệu,108.2458094,15.8953671,,,
school,overture,ba4973ea-34f0-436b-84bd-4dbf8a9500f0,Trường Tiểu học Lý Thường Kiệt,108.25890781,15.87961999,0.745862603187561,True,1.0
school,overture,eb4a74d1-80a9-473e-b84c-def5c3e60ab1,GeniusCamp Đà Nẵng,108.2085454,16.0179292,0.8481078743934631,True,1.0
school,overture,314ea05a-8532-46d2-a463-83e394d83003,Trường TH Trưng Nữ Vương,108.1328,16.1048,0.6337112784385681,True,1.0
school,overture,75daf3e6-a067-4526-a497-7ccb4979e9dc,Apax English Đà Nẵng 1,108.21908979,16.06064561,0.7611720561981201,True,1.0
school,overture,0c2a323a-44db-4f7f-8935-654d3c817dca,Trung Tâm Anh Ngữ Star Language,108.22029195,16.0515818,0.7828287482261658,True,1.0
hospital,osm,way/1182415212,Bệnh viện Đa khoa khu vực Quảng Nam,108.24617960078342,15.8910537,,,
hospital,osm,node/6539587371,Dana Dental - Nha Khoa Đà Nẵng,108.2139467,16.0619222,,,
hospital,osm,way/372433951,Bệnh viện C Đà Nẵng,108.21664327963295,16.0731892,,,
hospital,osm,way/372316060,Bệnh viện Phổi Đà Nẵng,108.17061065025521,16.048069499999997,,,
hospital,osm,way/372433638,Bệnh viện Đà Nẵng,108.21543455430552,16.0730163,,,
hospital,overture,60a4602f-7779-490e-8b7c-4f7bdc57b29b,Phòng Khám Bác Sĩ Lê Đình Nguyên,108.32335,15.89022,0.5571451187133789,True,1.0
hospital,overture,7ad12c43-7eef-43a5-834e-8b007c6f5d63,Khoa Hồi sức tích cực - Chống độc - Thận nhân tạo Bệnh viện 199,108.23607,16.06661,0.5840777158737183,True,1.0
hospital,overture,97642c71-ed51-4724-a158-54b2856fe24c,Hội Đông Y TP Đà Nẵng,108.220659,16.066542,0.5903903841972351,True,1.0
