cell_x_m,cell_y_m,count
214727.66401520075,1760565.5185298186,63
196727.66401520075,1780565.5185298186,60
198727.66401520075,1772565.5185298186,60
208727.66401520075,1768565.5185298186,60
205727.66401520075,1764565.5185298186,60
207727.66401520075,1768565.5185298186,60
198727.66401520075,1767565.5185298186,59
202727.66401520075,1763565.5185298186,59
207727.66401520075,1761565.5185298186,57
202727.66401520075,1781565.5185298186,57
202727.66401520075,1770565.5185298186,54
208727.66401520075,1752565.5185298186,54
201727.66401520075,1767565.5185298186,52
205727.66401520075,1767565.5185298186,52
191727.66401520075,1758565.5185298186,51
203727.66401520075,1751565.5185298186,50
205727.66401520075,1757565.5185298186,49
197727.66401520075,1772565.5185298186,49
198727.66401520075,1768565.5185298186,49
200727.66401520075,1768565.5185298186,49
206727.66401520075,1762565.5185298186,48
204727.66401520075,1772565.5185298186,48
191727.66401520075,1784565.5185298186,47
192727.66401520075,1782565.5185298186,47
190727.66401520075,1779565.5185298186,47
203727.66401520075,1762565.5185298186,46
204727.66401520075,1760565.5185298186,45
197727.66401520075,1767565.5185298186,45
194727.66401520075,1781565.5185298186,45
197727.66401520075,1766565.5185298186,45
199727.66401520075,1770565.5185298186,44
211727.66401520075,1757565.5185298186,44
207727.66401520075,1752565.5185298186,44
213727.66401520075,1746565.5185298186,44
205727.66401520075,1770565.5185298186,44
191727.66401520075,1779565.5185298186,44
201727.66401520075,1766565.5185298186,43
191727.66401520075,1782565.5185298186,43
210727.66401520075,1757565.5185298186,43
206727.66401520075,1767565.5185298186,43
190727.66401520075,1778565.5185298186,42
194727.66401520075,1777565.5185298186,41
204727.66401520075,1770565.5185298186,39
206727.66401520075,1756565.5185298186,38
214727.66401520075,1759565.5185298186,38
208727.66401520075,1781565.5185298186,38
209727.66401520075,1758565.5185298186,37
191727.66401520075,1752565.5185298186,37
193727.66401520075,1780565.5185298186,36
197727.66401520075,1774565.5185298186,35
205727.66401520075,1766565.5185298186,35
193727.66401520075,1778565.5185298186,34
206727.66401520075,1765565.5185298186,34
206727.66401520075,1761565.5185298186,34
194727.66401520075,1770565.5185298186,34
211727.66401520075,1759565.5185298186,33
198727.66401520075,1758565.5185298186,33
198727.66401520075,1771565.5185298186,32
196727.66401520075,1772565.5185298186,32
210727.66401520075,1762565.5185298186,32
203727.66401520075,1775565.5185298186,32
205727.66401520075,1771565.5185298186,32
206727.66401520075,1781565.5185298186,31
203727.66401520075,1768565.5185298186,30
212727.66401520075,1760565.5185298186,30
213727.66401520075,1755565.5185298186,30
213727.66401520075,1759565.5185298186,30
197727.66401520075,1758565.5185298186,29
